-,Date,Time,Location,Latitude,Longitude,Operator,Flight #,Route,AC Type,Registration,cn / ln,Aboard,Fatalities,Ground,Summary
ACCIDENT DETAILS,"September 17, 1908",1718,"Fort Myer, Virginia",38.883541,-77.0810889,Military - U.S. Army,?,Demonstration,Wright Flyer III,?,1,2 (passengers:1 crew:1),1 (passengers:1 crew:0),0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history. One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft. Orville Wright suffered broken ribs, pelvis and a leg. Selfridge suffered a crushed skull and died a short time later."
ACCIDENT DETAILS,"September 07, 1909",?,"Juvisy-sur-Orge, France",48.692871,2.3708618,?,?,Air show,Wright Byplane,SC1,?,1 (passengers:0 crew:1),1 (passengers:0 crew:0),0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
ACCIDENT DETAILS,"July 12, 1912",630,"Atlantic City, New Jersey",39.3636917,-74.4291041,Military - U.S. Navy,?,Test flight,Dirigible,?,?,5 (passengers:0 crew:5),5 (passengers:0 crew:5),0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
ACCIDENT DETAILS,"August 06, 1913",?,"Victoria, British Columbia, Canada",48.4284207,-123.3656444,Private,?,?,Curtiss seaplane,?,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
ACCIDENT DETAILS,"September 09, 1913",1830,Over the North Sea,56.511018,3.515625,Military - German Navy,?,?,Zeppelin L-1 (airship),?,?,20 (passengers:? crew:?),14 (passengers:? crew:?),0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
ACCIDENT DETAILS,"October 17, 1913",1030,"Near Johannisthal, Germany",52.4367582,13.5039931,Military - German Navy,?,?,Zeppelin L-2 (airship),?,?,28 (passengers:? crew:?),28 (passengers:? crew:?),0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again."
ACCIDENT DETAILS,"March 05, 1915",100,"Tienen, Belgium",50.8097182,4.9370128,Military - German Navy,?,?,Zeppelin L-8 (airship),?,?,41 (passengers:0 crew:41),17 (passengers:0 crew:17),0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
ACCIDENT DETAILS,"September 03, 1915",1520,"Off Cuxhaven, Germany",53.859336,8.6879057,Military - German Navy,?,?,Zeppelin L-10 (airship),?,?,19 (passengers:? crew:?),19 (passengers:? crew:?),0,"Exploded and burned near Neuwerk Island, when hydrogen gas, being vented, was ignited by lightning."
ACCIDENT DETAILS,"July 28, 1916",?,"Near Jambol, Bulgeria",42.4841999,26.5035023,Military - German Army,?,?,Schutte-Lanz S-L-10 (airship),?,?,20 (passengers:? crew:?),20 (passengers:? crew:?),0,"Crashed near the Black Sea, cause unknown."
ACCIDENT DETAILS,"September 24, 1916",100,"Billericay, England",51.627903,0.418397,Military - German Navy,?,?,Zeppelin L-32 (airship),?,?,22 (passengers:? crew:?),22 (passengers:? crew:?),0,Shot down by British aircraft crashing in flames.
ACCIDENT DETAILS,"October 01, 1916",2345,"Potters Bar, England",51.696636,-0.175948,Military - German Navy,?,?,Zeppelin L-31 (airship),?,?,19 (passengers:0 crew:19),19 (passengers:0 crew:19),0,Shot down in flames by the British 39th Home Defence Squadron.
ACCIDENT DETAILS,"November 21, 1916",?,"Mainz, Germany",49.9928617,8.2472526,Military - German Army,?,?,Super Zeppelin (airship),?,?,28 (passengers:? crew:?),27 (passengers:? crew:?),0,Crashed in a storm.
ACCIDENT DETAILS,"November 28, 1916",2345,"Off West Hartlepool, England",54.747883,-1.2940261,Military - German Navy,?,?,Zeppelin L-34 (airship),?,?,20 (passengers:? crew:?),20 (passengers:? crew:?),0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
ACCIDENT DETAILS,"March 04, 1917",?,"Near Gent, Belgium",51.0499922,3.7303853,Military - German Army,?,?,Airship,?,?,20 (passengers:? crew:?),20 (passengers:? crew:?),0,Caught fire and crashed.
ACCIDENT DETAILS,"March 30, 1917",?,Off Northern Germany,51.165691,10.451526,Military - German Navy,?,?,Schutte-Lanz S-L-9 (airship),?,?,23 (passengers:? crew:?),23 (passengers:? crew:?),0,Struck by lightning and crashed into the Baltic Sea.
ACCIDENT DETAILS,"May 14, 1917",515,"Near Texel Island, North Sea",53.077056,4.8318926,Military - German Navy,?,?,Zeppelin L-22 (airship),?,?,21 (passengers:? crew:?),21 (passengers:? crew:?),0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
ACCIDENT DETAILS,"June 14, 1917",845,"Off Vlieland Island, North Sea",53.2606424,4.9556956,Military - German Navy,?,?,Zeppelin L-43 (airship),?,?,24 (passengers:? crew:?),24 (passengers:? crew:?),0,Shot down by British aircraft.
ACCIDENT DETAILS,"June 17, 1917",?,"Near Yarmouth, England",52.598233,1.728047,?,?,?,Zepplin L-48 (air ship),L-48,?,16 (passengers:? crew:?),14 (passengers:? crew:?),0,Shot down by aircraft.
ACCIDENT DETAILS,"August 21, 1917",700,Off western Denmark,45.5699557,-92.5096456,Military - German Navy,?,?,Zeppelin L-23 (airship),?,?,18 (passengers:? crew:?),18 (passengers:? crew:?),0,Shot down by British aircraft.
ACCIDENT DETAILS,"October 20, 1917",745,"Near Luneville, France",48.592237,6.492339,Military - German Navy,?,?,Zeppelin L-44 (airship),?,?,18 (passengers:? crew:?),18 (passengers:? crew:?),0,Shot down by French anti-aircraft fire.
ACCIDENT DETAILS,"April 07, 1918",2130,Over the Mediterranean,34.5531284,18.0480105,Military - German Navy,?,?,Zeppelin L-59 (airship),?,?,23 (passengers:? crew:?),23 (passengers:? crew:?),0,Exploded and crashed into the sea off the southern coast of Italy.
ACCIDENT DETAILS,"August 05, 1918",?,"Off Helgoland Island, Germany",54.1833116,7.8827444,Military - German Navy,?,?,Zeppelin L-70 (airship),?,?,22 (passengers:? crew:?),22 (passengers:? crew:?),0,"Shot down by British aircraft crashing from a height of 17,000 ft."
ACCIDENT DETAILS,"August 11, 1918",1000,"Ameland Island, North Sea",53.4500611,5.7906079,Military - German Navy,?,?,Zeppelin L-53 (airship),?,?,19 (passengers:? crew:?),19 (passengers:? crew:?),0,Shot down by british aircraft.
